Машины марк;Үнэ;Моторын багтаамж;Хурдны хайрцаг;Хүрд;Төрөл;Өнгө;Үйлдвэрлэсэн он;Орж ирсэн он;Хөдөлгүүр;Дотор өнгө;Лизинг;Хаяг;Хөтлөгч;Явсан;Нөхцөл;Хаалга
Toyota Camry, 2019/2020;60 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Хар;2019;2020;Хайбрид;Хар;ББСБ лизингтэй;zaisan;Урдаа FWD;40000 км.;Дугаар авсан;5
Ford Explorer, 2008/2023;42.8 сая ₮;4.0 л;Автомат;Зөв;Жийп;Хар;2008;2023;Бензин;Бусад;ББСБ лизингтэй;nan;Бүх дугуй 4WD;147000 км.;Дугаар аваагүй;4
Toyota Vanguard, 2010/2019;25.5 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2019;Бензин;Шаргал;Лизинггүй;ХУД;Урдаа FWD;182000 км.;Дугаар авсан;5
SsangYong Rexton, 2018/2022;70 сая ₮;2.2 л;Автомат;Зөв;Жийп;Саарал;2018;2022;Дизель;Саарал;Лизинггүй;Ulaanbaatar;Бүх дугуй 4WD;60 км.;Дугаар авсан;5
Toyota C-HR, 2017/2023;50 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2017;2023;Бензин;Хар;Банкны лизингтэй;narnii horoolol;Бүх дугуй 4WD;56000 км.;Дугаар аваагүй;5
Toyota Pickup, 2002/2019;28 сая ₮;2.0 л;Автомат;Буруу;Жийп;Хар;2002;2019;Бензин;Саарал;Лизинггүй;yarmag;Хойноо RWD;140000 км.;Дугаар авсан;2
Porsche Cayenne, 2022/2022;390 сая ₮;3.0 л;Автомат;Зөв;Жийп;Хар саарал;2022;2022;Бензин;Хар;Банкны лизингтэй;ХУД Яармаг Порше Центэр;Бүх дугуй 4WD;3900 км.;Дугаар авсан;5
Honda Fit, 2013/2023;18.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2013;2023;Хайбрид;Саарал;ББСБ лизингтэй;Сансар;Урдаа FWD;180000 км.;Дугаар аваагүй;4
Renault Бусад, 2016/2019;25 сая ₮;1.5 л;Автомат;Зөв;Жийп;Бусад;2016;2019;Дизель;Хар;Банкны лизингтэй;Улаанбаатар;Урдаа FWD;134221 км.;Дугаар авсан;5
Toyota Sai, 2010/2021;22 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2010;2021;Хайбрид;Саарал;Лизинггүй;схд 21 хороолол;Урдаа FWD;153307 км.;Дугаар авсан;5
Audi Q5, 2017/2023;88 сая ₮;2.0 л;Автомат;Буруу;Жийп;Хөх;2017;2023;Бензин;Хар;Банкны лизингтэй;King Tower 135-r bairnii B2 graj;Бүх дугуй 4WD;127000 км.;Дугаар аваагүй;5
Toyota Vitz, 2008/2015;6.5 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2008;2015;Бензин;Саарал;Лизинггүй;БЗД Хужирбулан.;Урдаа FWD;150000 км.;Дугаар авсан;4
Toyota Aqua, 2019/2023;23.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Хар саарал;2019;2023;Хайбрид;Саарал;Хувь лизингтэй;narnii horoolol;Урдаа FWD;91000 км.;Дугаар аваагүй;5
Nissan Skyline, 2014/2021;30 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2021;Бензин;Хар;Лизинггүй;ХУД;Хойноо RWD;147000 км.;Дугаар авсан;4
Toyota Noah, 2012/2022;21.5 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Саарал;2012;2022;Бензин;Шаргал;Лизинггүй;Баянзүрх дүүрэг, 25-р хороо, натур;Бүх дугуй 4WD;192000 км.;Дугаар авсан;5
Nissan X-Trail, 2010/2019;18.8 сая ₮;2.0 л;Автомат;Буруу;Жийп;Сувдан цагаан;2010;2019;Бензин;Хар;ББСБ лизингтэй;Нарны гүүрны урд;Бүх дугуй 4WD;180000 км.;Дугаар авсан;4
Nissan Patrol, 2008/2008;45 сая ₮;4.2 л;Механик;Зөв;Жийп;Саарал;2008;2008;Дизель;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;200000 км.;Дугаар авсан;5
Toyota Prius 30, 2015/2020;19.5 сая ₮;6.0 л;Автомат;Буруу;Суудлын тэрэг;Хар;2015;2020;Хайбрид;Хар;Лизинггүй;Zaisan blue sky;Урдаа FWD;92000 км.;Дугаар авсан;5
Toyota Prius 55, 2016/2021;30 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2016;2021;Бензин;Цагаан шар;Лизинггүй;баянмонгол хороолол;Бүх дугуй 4WD;215 км.;Дугаар авсан;4
Nissan NV200, 2009/2023;14.8 сая ₮;1.6 л;Автомат;Буруу;Гэр бүлийн;Хар саарал;2009;2023;Бензин;Бусад;Лизинггүй;nan;Урдаа FWD;167000 км.;Дугаар аваагүй;5
Toyota Passo, 2008/2018;9.5 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Улбар шар;2008;2018;Бензин;Саарал;Лизинггүй;bzd;Бүх дугуй 4WD;12 км.;Дугаар авсан;5
Toyota Wish, 2010/2019;17 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Улаан;2010;2019;Бензин;Хар;Лизинггүй;БЗД, Жуков;Урдаа FWD;120 км.;Дугаар авсан;4
Volkswagen Touareg, 2004/2012;15 сая ₮;4.2 л;Автомат;Зөв;Жийп;Хүрэн;2004;2012;Бензин;Шаргал;Лизинггүй;nan;Бүх дугуй 4WD;270000 км.;Дугаар авсан;5
Jeep Wrangler, 2020/2021;160 сая ₮;2.0 л;Автомат;Зөв;Жийп;Хар саарал;2020;2021;Бензин;Хар;Банкны лизингтэй;Han uul;Бүх дугуй 4WD;50000 км.;Дугаар авсан;5
Toyota Prius 30, 2014/2022;23 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2014;2022;Бензин;Саарал;Лизинггүй;4 horoolol;Урдаа FWD;120000 км.;Дугаар авсан;4
Nissan Patrol, 2017/2019;135 сая ₮;5.5 л;Автомат;Зөв;Жийп;Цагаан;2017;2019;Бензин;Хар;Лизинггүй;Яармаг;Бүх дугуй 4WD;80000 км.;Дугаар авсан;5
Toyota Camry, 2013/2023;37 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Сувдан цагаан;2013;2023;Хайбрид;Хар;ББСБ лизингтэй;nan;Урдаа FWD;120 км.;Дугаар авсан;5
Chevrolet Tahoe, 2010/2010;39 сая ₮;5.3 л;Автомат;Зөв;Жийп;Хүрэн;2010;2010;Бензин;Саарал;Лизинггүй;нар;Бүх дугуй 4WD;120 км.;Дугаар авсан;4
Subaru Forester, 2019/2023;59 сая ₮;2.9 л;Автомат;Буруу;Жийп;Саарал;2019;2023;Бензин;Хар;ББСБ лизингтэй;MB auto hudaldaa;Бүх дугуй 4WD;29000 км.;Дугаар аваагүй;5
Lexus RX, 2012/2021;75 сая ₮;4.5 л;Автомат;Зөв;Жийп;Саарал;2012;2021;Бензин;Хар;Лизинггүй;зайсан;Бүх дугуй 4WD;200 км.;Дугаар авсан;5
Mercedes-Benz S-Class, 2014/2023;76.5 сая ₮;3.5 л;Автомат;Буруу;Суудлын тэрэг;Хар;2014;2023;Хайбрид;Цагаан шар;Банкны лизингтэй;nan;Хойноо RWD;106000 км.;Дугаар аваагүй;4
Mitsubishi Delica, 1996/2006;8 сая ₮;2.4 л;Механик;Буруу;Жийп;Хар;1996;2006;Дизель;Саарал;Хувь лизингтэй;nan;Бүх дугуй 4WD;200 км.;Дугаар авсан;4
Toyota Rumion, 2012/2020;20 сая ₮;1.8 л;Автомат;Буруу;Суудлын тэрэг;Цэнхэр;2012;2020;Бензин;Хар;Лизинггүй;120 myngat;Урдаа FWD;65000 км.;Дугаар авсан;5
Mercedes-Benz S-Class, 1998/2022;60 сая ₮;3.1 л;Автомат;Зөв;Суудлын тэрэг;Саарал;1998;2022;Бензин;Хар;Лизинггүй;нисэхийн тойрог JPcars;Хойноо RWD;10 км.;Дугаар аваагүй;4
Mitsubishi Delica, 2012/2021;24 сая ₮;2.0 л;Автомат;Буруу;Гэр бүлийн;Саарал;2012;2021;Бензин;Саарал;Лизинггүй;цайз;Бүх дугуй 4WD;178033 км.;Дугаар авсан;5
Hyundai Sonata, 2015/2020;19 сая ₮;2.0 л;Автомат;Зөв;Суудлын тэрэг;Цагаан;2015;2020;Газ;Хар;Лизинггүй;Дархан уул аймаг;Урдаа FWD;120000 км.;Дугаар авсан;5
Toyota Probox, 2006/2014;3.8 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2006;2014;Бензин;Хар;Лизинггүй;нарны хороолол;Урдаа FWD;300000 км.;Дугаар авсан;5
Toyota Vellfire, 2012/2023;45 сая ₮;2.4 л;Автомат;Буруу;Гэр бүлийн;Сувдан цагаан;2012;2023;Хайбрид;Цагаан шар;ББСБ лизингтэй;Ulziit Motors;Бүх дугуй 4WD;162000 км.;Дугаар аваагүй;5
Lexus HS, 2010/2023;36.8 сая ₮;2.4 л;Автомат;Буруу;Суудлын тэрэг;Хар;2010;2023;Хайбрид;Хар;ББСБ лизингтэй;Зайсан апартмент;Хойноо RWD;121718 км.;Дугаар аваагүй;4
Toyota C-HR, 2018/2020;48 сая ₮;1.2 л;Автомат;Буруу;Суудлын тэрэг;Шар;2018;2020;Бензин;Хар;Лизинггүй;уб;Бүх дугуй 4WD;47000 км.;Дугаар авсан;5
Nissan Vanette, 2006/2019;8 сая ₮;1.8 л;Механик;Буруу;Суудлын тэрэг;Цагаан;2006;2019;Дизель;Саарал;Лизинггүй;nan;Бүх дугуй 4WD;120000 км.;Дугаар авсан;5
Nissan Note, 2013/2020;11 сая ₮;1.5 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2013;2020;Бензин;Хар;Лизинггүй;Зайсан Энхжин, Сансар 805;Урдаа FWD;190000 км.;Дугаар авсан;5
Toyota Vitz, 2010/2017;9 сая ₮;1.3 л;Механик;Буруу;Суудлын тэрэг;Саарал;2010;2017;Бензин;Хар;Лизинггүй;СХД 24хороо;Урдаа FWD;12345 км.;Дугаар авсан;5
Subaru Legacy, 2013/2022;23 сая ₮;2.5 л;Автомат;Буруу;Суудлын тэрэг;Цагаан;2013;2022;Бензин;Хар;ББСБ лизингтэй;nan;Бүх дугуй 4WD;1658000 км.;Дугаар авсан;4
BMW X5, 2015/2021;200 сая ₮;4.3 л;Автомат;Зөв;Жийп;Хар;2015;2021;Бензин;Бусад;Лизинггүй;Уранган;Бүх дугуй 4WD;49000 км.;Дугаар авсан;5
MINI Cooper, 2009/2015;14 сая ₮;0.6 л;Автомат;Зөв;Суудлын тэрэг;Сувдан цагаан;2009;2015;Бензин;Саарал;Лизинггүй;Bayangol Ahui uichilgee;Урдаа FWD;1666 км.;Дугаар авсан;2
Volkswagen Бусад, 2016/2020;32 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2016;2020;Дизель;Саарал;Лизинггүй;УБ;Бүх дугуй 4WD;136500 км.;Дугаар авсан;5
Subaru Forester, 2012/2021;25 сая ₮;2.0 л;Автомат;Буруу;Жийп;Цагаан;2012;2021;Бензин;Хар;Лизинггүй;УБ;Бүх дугуй 4WD;110000 км.;Дугаар авсан;4
Toyota Noah, 2014/2023;37 сая ₮;1.8 л;Автомат;Буруу;Гэр бүлийн;Ногоон;2014;2023;Хайбрид;Цагаан шар;Лизинггүй;22;Урдаа FWD;170000 км.;Дугаар аваагүй;5
Mercedes-Benz A-Class, 2013/2022;35 сая ₮;1.6 л;Автомат;Буруу;Суудлын тэрэг;Бор;2013;2022;Бензин;Хар;Лизинггүй;Саппоро;Урдаа FWD;130000 км.;Дугаар авсан;5
Subaru Forester, 2011/2019;18 сая ₮;2.0 л;Автомат;Буруу;Суудлын тэрэг;Саарал;2011;2019;Бензин;Хар;Лизинггүй;Хан уул;Бүх дугуй 4WD;140000 км.;Дугаар авсан;5
